64, -1.1425E-03, 4.3133E-12, 7.5581E-11, 2.3126E-07
65, -1.0308E-03, 4.4072E-12, 5.1014E-11, 2.1580E-07
66, -1.0225E-03, 2.3570E-12, 2.4090E-11, 2.3536E-07
67, -9.4368E-04, 2.2551E-12, 1.6138E-11, 2.2065E-07
68, -9.6296E-04, 2.4273E-12, 1.4023E-11, 2.3895E-07
69, -9.1167E-04, 2.3922E-12, 1.1068E-11, 2.1816E-07
70, -9.5746E-04, 1.5651E-12, 8.8947E-12, 2.3403E-07
71, -9.4929E-04, 2.0549E-12, 8.5666E-12, 2.0592E-07
72, -9.5080E-04, 1.4450E-12, 7.9691E-12, 2.2924E-07
73, -9.4715E-04, 1.7945E-12, 8.6296E-12, 2.0510E-07
74, -9.3063E-04, 1.5985E-12, 7.1795E-12, 2.3339E-07
75, -9.2288E-04, 1.8618E-12, 7.5324E-12, 2.0903E-07
76, -9.6149E-04, 1.1373E-12, 7.9424E-12, 2.2243E-07
77, -9.9969E-04, 1.6370E-12, 1.1759E-11, 1.9023E-07
78, -1.0364E-03, 1.5734E-12, 1.2384E-11, 2.1387E-07
79, -9.0112E-04, 1.6938E-12, 7.9276E-12, 2.0689E-07
80, -1.0754E-03, 4.2827E-12, 5.2526E-11, 2.3642E-07
81, -9.7733E-04, 3.0604E-12, 1.8310E-11, 2.1429E-07
82, -9.5054E-04, 2.2814E-12, 1.1870E-11, 2.4342E-07
83, -9.0893E-04, 2.3804E-12, 1.0288E-11, 2.1938E-07
84, -9.3367E-04, 1.7140E-12, 8.5222E-12, 2.3953E-07
85, -9.1167E-04, 2.0986E-12, 8.2239E-12, 2.1223E-07
86, -9.6963E-04, 1.4683E-12, 8.0531E-12, 2.2734E-07
87, -9.2781E-04, 2.1778E-12, 8.4444E-12, 2.0665E-07
88, -9.6052E-04, 1.4738E-12, 8.1287E-12, 2.2963E-07
89, -8.8964E-04, 1.9439E-12, 7.1774E-12, 2.1204E-07
90, -9.4433E-04, 1.3495E-12, 8.5652E-12, 2.2654E-07
91, -9.8028E-04, 1.9965E-12, 1.0927E-11, 1.9254E-07
92, -1.0371E-03, 1.3743E-12, 1.3983E-11, 2.1163E-07
93, -8.9397E-04, 1.8897E-12, 8.6088E-12, 2.0722E-07
94, -9.1028E-04, 1.5023E-12, 7.5365E-12, 2.3394E-07
95, -8.2313E-04, 2.0499E-12, 6.5429E-12, 2.1789E-07
96, -1.1048E-03, 2.7152E-12, 2.5631E-11, 2.3038E-07
97, -9.4970E-04, 3.0040E-12, 1.2476E-11, 2.1875E-07
98, -9.5789E-04, 2.4154E-12, 1.0596E-11, 2.3918E-07
99, -9.0712E-04, 2.4264E-12, 8.8326E-12, 2.1794E-07
100, -9.4181E-04, 2.2153E-12, 8.4755E-12, 2.3313E-07
101, -9.0306E-04, 2.0258E-12, 8.4796E-12, 2.0889E-07
102, -9.5641E-04, 1.5282E-12, 8.6624E-12, 2.2527E-07
103, -8.7574E-04, 2.0350E-12, 8.6414E-12, 2.1207E-07
104, -9.1580E-04, 1.7827E-12, 7.0906E-12, 2.3134E-07
105, -9.1023E-04, 2.0270E-12, 8.7402E-12, 2.0306E-07
106, -1.0211E-03, 1.4772E-12, 1.2964E-11, 2.0741E-07
107, -8.9603E-04, 2.1960E-12, 1.1174E-11, 2.0314E-07
108, -9.0320E-04, 1.8595E-12, 8.0509E-12, 2.3027E-07
109, -8.2533E-04, 2.1817E-12, 6.5190E-12, 2.1765E-07
110, -8.4909E-04, 1.6028E-12, 6.5037E-12, 2.3871E-07
111, -8.6320E-04, 1.7358E-12, 6.6130E-12, 2.0976E-07
112, -1.0727E-03, 3.1886E-12, 2.2626E-11, 2.3060E-07
113, -9.7614E-04, 2.7429E-12, 1.3874E-11, 2.1374E-07
114, -9.5036E-04, 2.1381E-12, 1.0030E-11, 2.3749E-07
115, -9.1385E-04, 2.3545E-12, 9.1417E-12, 2.1242E-07
116, -9.3742E-04, 2.0912E-12, 9.0942E-12, 2.2863E-07
117, -9.2633E-04, 2.1267E-12, 8.7763E-12, 2.0555E-07
118, -9.1137E-04, 1.5510E-12, 7.9481E-12, 2.3251E-07
119, -8.8017E-04, 2.0003E-12, 7.4872E-12, 2.1042E-07
120, -9.2680E-04, 2.0079E-12, 9.3282E-12, 2.2199E-07
121, -9.8499E-04, 2.0046E-12, 1.4617E-11, 1.8993E-07
122, -9.1324E-04, 1.4807E-12, 8.9607E-12, 2.2741E-07
123, -8.5455E-04, 1.8090E-12, 7.8381E-12, 2.1187E-07
124, -8.4669E-04, 2.0772E-12, 6.9523E-12, 2.3900E-07
125, -8.3847E-04, 1.8836E-12, 5.9598E-12, 2.1571E-07
126, -8.9950E-04, 2.4165E-12, 1.7083E-10, 2.2431E-07
127, -8.4837E-04, 1.8644E-12, 8.5031E-12, 2.1087E-07
128, -1.0889E-03, 3.6180E-12, 2.4794E-11, 2.2627E-07
129, -1.0815E-03, 9.9000E+37, 9.9000E+37, -9.9000E+37
130, -9.7470E-04, 2.9828E-12, 1.2168E-11, 2.3107E-07
131, -9.4301E-04, 2.3107E-12, 1.1597E-11, 2.0658E-07
132, -9.2975E-04, 1.6773E-12, 8.6979E-12, 2.2666E-07
